center_meal,r2_score,mape
34_2707,0.4063678308748221,0.21809130076599
34_2826,0.6670930956055541,0.2111864774221994
36_1062,0.48098457458832355,0.24616212229658688
36_1109,0.812028383270974,0.23932435274061967
36_1198,0.27993259983044505,0.43100019515081617
36_1311,0.33496703758511626,0.24547307000883875
36_1445,0.8050905997857845,0.5821491089294458
36_1727,0.8697335818781369,0.3732479932243063
36_1754,0.7406832764069289,0.5103058121232874
36_1778,0.2598776177790999,0.348303012189884
36_1803,0.30496999877174347,0.24483860175598207
36_1878,0.7360777420850411,0.2951044024919686
36_1885,0.3368706941551505,0.16467346159418278
36_1962,0.7857771817562474,0.3329225419053033
36_1971,0.809688132281871,0.7609984018837692
36_1993,0.5021358177014428,0.2575075053076902
36_2290,0.8085926669068816,0.30294230380633397
36_2539,0.5516977378398866,0.24712982405017778
36_2577,0.6270842253639515,0.3961453993360096
36_2581,0.804580680779647,0.41533995369793497
36_2640,0.6169052326722383,0.32982515017981257
36_2707,0.4941508221468235,0.2640906310343693
36_2760,0.5608271066006023,0.29913502422010463
36_2826,0.7352697667688064,0.23163222574268175
39_1062,0.3380581272632045,0.2414472833924929
39_1109,0.6297240008095053,0.341896044202044
39_1207,0.6117555634445475,0.4809851352955024
39_1230,0.5317367053122573,0.4957532116345123
39_1727,0.5772110671224109,0.46713231550048834
39_1754,0.6378534481376749,0.3766329183585566
39_1885,0.6737978117203038,0.37843223958952227
39_1962,0.7861866386015841,0.4032040293192374
39_1971,0.7672338602280443,0.5339396095715434
39_2290,0.8183309428488665,0.2995247954959847
39_2640,0.5915824672747505,0.45960616685368455
39_2707,0.34370736059093643,0.2786557173969037
39_2826,0.42605512299707304,0.45190437203266953
41_1062,0.2530613334916705,0.510126049388534
41_1109,0.5121691776299646,0.3944124786683706
41_1754,0.7287627643722656,0.8205569208248116
41_1885,0.25734687813316615,0.47301663563701934
41_2290,0.6430025876153025,0.6304326476242339
42_1062,0.2833313406111878,0.25525089123432276
42_1109,0.5756250420692917,0.3024711481004017
42_1727,0.7853232115695631,0.3220623831666879
42_1754,0.6594066566811021,0.3889344753341237
42_1778,0.17690622587296845,0.5703414882015903
42_1878,0.6037127072798841,0.19871846620891145
42_1885,0.5927714918618168,0.23189685714614208
42_1962,0.6141514108396535,0.37989965636610235
42_1993,0.6013839381201367,0.26423442436618977
42_2290,0.7964510400150197,0.21687727494282927
42_2539,0.5664970584132476,0.43333080850863315
42_2577,0.5185445510378042,0.2880220237033134
42_2640,0.5176923270882505,0.24847560466330212
42_2707,0.4936263714742265,0.22939547842544047
42_2826,0.7345314456825071,0.2342822881934751
43_1062,0.49019329711053217,0.22159318209851037
43_1109,0.781893466457104,0.25252958231423367
43_1198,0.38104362591322716,0.23308662765652094
43_1207,0.7497971519642992,0.6105791781774051
43_1311,0.2911159183132077,0.15701515092940987
43_1727,0.8591402000781556,0.3375232886037945
43_1754,0.7920628114997547,0.6452417107939946
43_1778,0.3419216287979673,0.2716321505890875
43_1803,0.45731041210863455,0.16565511634167726
43_1885,0.46670401125932903,0.11439965698398424
43_1962,0.7761162054771921,0.3571829451518003
43_1971,0.7854941887102806,1.092399272344135
43_1993,0.7597820137723095,0.16703242477070962
43_2290,0.7676680050917439,0.49629234595718713
43_2494,0.4350283179796537,0.3352549151438161
43_2539,0.6634222493231043,0.19684671630035613
43_2577,0.461940005200585,0.47721996169969666
43_2581,0.7622459251665373,0.391016440175362
43_2640,0.8115619748173553,0.26056037436379187
43_2707,0.4833520911530568,0.22629713503486515
43_2760,0.7115266748168239,0.32581641164184133
43_2826,0.7738941793164801,0.2554272513482511
43_2867,0.8129307644714716,0.7122240283481329
50_1062,0.44339900462797044,0.20513553269399876
50_1109,0.6222942256278556,0.29340859330209096
